precursor,fragment,ion,standard_ion,CTRL_n1_1,CTRL_n1_2,CTRL_n1_3,Lyso0min_n1_1,Lyso0min_n1_2,Lyso0min_n1_3,Lyso10min_n1_1,Lyso10min_n1_2,Lyso10min_n1_3,Lyso20min_n1_1,Lyso20min_n1_2,Lyso20min_n1_3,Lyso5min_n1_1,Lyso5min_n1_2,Lyso5min_n1_3
464.2,377.205,LysoPS14:2,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466.22,379.225,LysoPS14:1,PS31:1,13.655,15.635,16.755,18.525,19.995,18.845,15.955,13.615,14.4,18.225,10.905,18.605,18.79,15.99,11.05
468.24,381.235,LysoPS14:0,PS31:1,0,0.06,0,0,0.05,0,0,0.185,0,0,0,0,0,0.06,0
492.24,405.235,LysoPS16:2,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494.25,407.255,LysoPS16:1,PS31:1,0.3,0.7,0.405,0.78,0.43,0.955,0.19,0.54,0.79,0.235,0.505,0.62,0.995,0.365,0.495
496.27,409.275,LysoPS16:0,PS31:1,2.63,5.15,4.755,3.985,4.725,3.75,3.915,2.325,3.05,2.535,3.415,2.155,5.205,2.73,3.735
520.27,433.275,LysoPS18:2,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.28,435.285,LysoPS18:1,PS31:1,8.29,13.645,12.295,11.96,12.07,8.685,6.25,7.895,6.22,6.97,7.99,9.345,16.965,8.725,8.88
524.3,437.305,LysoPS18:0,PS31:1,13.425,17.03,21.34,25.29,19.045,23.495,12.1,15.215,21.04,18.855,12.515,16.18,24.275,21.015,19.465
539.23,241.045,LysoPI14:2,PI31:1,0,0.24,0.39,0,0,0,0,0,0,0,0,0,0,0,0
541.24,241.045,LysoPI14:1,PI31:1,0.715,2.45,1.19,1.31,0.61,1.605,1.215,1.48,0.915,1.13,0.34,1.255,0.58,1.41,0.935
543.26,241.045,LysoPI14:0,PI31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548.3,461.305,LysoPS20:2,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550.31,463.315,LysoPS20:1,PS31:1,0.23,0.185,0.14,0.675,0.345,0.655,0.36,0.415,0.38,0.105,0.315,0.385,0.325,0.545,0.29
552.33,465.335,LysoPS20:0,PS31:1,0,0,0.055,0.215,0,0,0,0,0.11,0,0,0,0,0,0
567.26,241.045,LysoPI16:2,PI31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569.27,241.045,LysoPI16:1,PI31:1,2.455,10.195,6.07,4.175,8.745,4.14,1.52,2.34,4.34,3.515,1.85,3.08,4.7,3.23,2.905
571.29,241.045,LysoPI16:0,PI31:1,7.26,16,13.845,11.23,16.485,12.74,12.22,11.38,34.705,14.6,8.38,12.43,19.515,18.985,20.42
576.33,489.335,LysoPS22:2,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578.35,491.345,LysoPS22:1,PS31:1,0,0.115,0.195,0,0.2,0.25,0.07,0.125,0.14,0.185,0.14,0.065,0.295,0.035,0.09
580.36,493.365,LysoPS22:0,PS31:1,0.07,0,0,0,0,0.055,0.09,0.125,0.13,0.135,0,0.06,0.245,0.075,0
595.29,241.045,LysoPI18:2,PI31:1,0,0.855,0.67,0.5,0.17,0.525,0,0.425,0.915,0.145,0.135,0,0.535,0.13,0.415
597.3,241.045,LysoPI18:1,PI31:1,95.29,148.25,149.7,123.605,150.965,142.045,117.49,150.16,291.26,135.23,83.02,130.865,144.885,163.69,172.275
599.32,241.045,LysoPI18:0,PI31:1,108.515,214.165,223.405,163.075,196.36,181.14,226.79,232.965,502.525,197.37,166.09,215.83,200,268.325,253.145
619.92,227.235,CL56:0,CL56:0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
623.32,241.045,LysoPI20:2,PI31:1,2.04,5.565,1.475,3.72,4.065,3.775,2.04,1.675,4.195,2.87,0.6,0.865,2.79,5.035,1.645
625.34,241.045,LysoPI20:1,PI31:1,3.225,4.17,4.47,4.105,4.49,3.575,4.12,7.19,7.78,5.2,3.255,3.01,4.49,8.59,4.52
627.35,241.045,LysoPI20:0,PI31:1,2.405,12.375,5.61,5.73,3.595,2.72,5.435,4.89,8.285,6.71,6.26,3.82,4.27,3.615,5.67
651.35,241.045,LysoPI22:2,PI31:1,1.255,2.425,1.23,0.495,1.73,2.33,0.805,0.81,0.41,1.96,1.03,1.17,2.38,1.715,2.06
653.37,241.045,LysoPI22:1,PI31:1,0.505,2.81,1.12,0.77,1.03,1.525,0.675,0.75,2.375,1.345,0.685,0.47,0.64,1.47,1.92
655.38,241.045,LysoPI22:0,PI31:1,1.91,6.11,5.395,3.54,7.815,5.095,3.695,3.56,7.34,2.6,0.785,1.825,2.875,3.735,7.005
666.34,579.345,PS28:6,PS31:1,0,0,0,0.225,0.27,0.13,0,0,0.16,0,0,0,0.11,0.075,0
668.36,581.355,PS28:5,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670.37,583.375,PS28:4,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672.39,585.395,PS28:3,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674.4,587.405,PS28:2,PS31:1,0.195,0.16,0.495,0.165,0.185,0.205,0.285,0.345,0.33,0.335,0.23,0.25,0,0.22,0.59
676.42,589.425,PS28:1,PS31:1,0,0.115,0.155,0,0.115,0,0,0.05,0.14,0,0.145,0,0.045,0.055,0
678.43,591.435,PS28:0,PS31:1,1.31,0.555,0.28,0.78,1.43,0.63,0.54,0.43,1.55,0.615,1.48,0.27,1.005,1.165,0.515
680.39,593.395,PS(O-)30:6,PS31:1,0,0.08,0,0.055,0,0.13,0,0,0,0.06,0.05,0,0.1,0.1,0.21
682.41,595.415,PS(O-)30:5,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684.42,597.425,PS(O-)30:4,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686.44,599.445,PS(O-)30:3,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688.46,601.455,PS(O-)30:2,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690.47,603.475,PS(O-)30:1,PS31:1,1.155,1.65,1.63,0.52,0.825,1.125,1.285,1.385,0.82,0.915,0.755,0.675,0.56,1.135,0.71
692.49,605.485,PS(O-)30:0,PS31:1,4.475,5.56,4.89,4.69,6.09,6.235,4.555,3.67,5.56,6.205,6.355,5.28,5.065,4.355,3.91
694.37,607.375,PS30:6,PS31:1,0.08,0.06,0.315,0.195,0.18,0.07,0.325,0.05,0,0.095,0.305,0,0.165,0.245,0.19
696.39,609.395,PS30:5,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697.97,253.255,CL68:6_C16:1,CL56:0,37.415,46.865,31.735,42.335,44.09,33.45,41.205,50.725,45.81,40.885,41.905,43.82,45.935,42.12,41.26
697.97,279.265,CL68:6_C18:2,CL56:0,11.485,12.34,7.825,8.865,8.41,6.625,10.325,8.705,7.55,7.845,6.68,9.775,8.87,7.065,8.36
698.4,611.405,PS30:4,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698.98,253.255,CL68:5_C16:1,CL56:0,385.98,462.24,369.49,385.39,380.845,365.03,428.505,381.235,376.21,389.955,374.36,412.67,438.185,397.08,440.965
698.98,255.265,CL68:5_C16:0,CL56:0,0.34,0.445,0.805,0,0,0.37,0,0,0,0,0,0.305,0,0,0.31
698.98,279.265,CL68:5_C18:2,CL56:0,140.145,144.43,99.86,111.55,130.9,113.93,142.02,126.35,130.085,126.265,119.71,134.255,139.075,137.95,131.535
