precursor,fragment,ion,standard_ion,CTRL_p1_1,CTRL_p1_2,CTRL_p1_3,Lyso0min_p1_1,Lyso0min_p1_2,Lyso0min_p1_3,Lyso10min_p1_1,Lyso10min_p1_2,Lyso10min_p1_3,Lyso20min_p1_1,Lyso20min_p1_2,Lyso20min_p1_3,Lyso5min_p1_1,Lyso5min_p1_2,Lyso5min_p1_3
422.23,281.245,LysoPE14:2,PE31:1,0,0,0,0,0,0,0,0,0,18.62,0,0,0,0,0
424.25,283.265,LysoPE14:1,PE31:1,7.065,9.885,6.025,5.555,4.56,5.255,5.72,5.405,5.31,17.55,5.76,4.31,10.625,4.22,6.79
426.26,285.275,LysoPE14:0,PE31:1,3.135,3.33,2.98,4.875,3.48,3.85,2.595,2.105,3.84,12.45,5.62,3.67,7.445,2.185,3.73
450.26,309.275,LysoPE16:2,PE31:1,0.7,0.44,0,0,0,0.32,0,0,0,5.985,0,0,1.505,0,0.765
452.28,311.295,LysoPE16:1,PE31:1,42.53,83.665,42.025,119.18,93.955,96.615,75.75,69,74.98,128.78,72.68,78.86,139.68,69.605,72.245
454.29,313.305,LysoPE16:0,PE31:1,158.3,195.905,144.29,170.765,164.79,160.2,151.22,157.705,185.42,202.44,190.92,198.37,193.62,153.335,175.35
464.28,184.105,LysoPC14:2,DLPC,0.125,0.15,0.105,0.135,0.075,0.11,0.12,0.11,0.07,0.54,0.07,0.15,0.14,0.125,0.08
466.29,184.105,LysoPC14:1,DLPC,0.505,0.63,0.495,0.615,0.42,0.53,0.38,0.39,0.53,0.81,0.39,0.45,0.49,0.48,0.43
468.31,184.105,LysoPC14:0,DLPC,4.62,6.365,4.23,8.205,5.05,6.575,4.365,4.38,5.6,7.445,4.29,4.55,8.76,5.455,4.56
478.29,337.305,LysoPE18:2,PE31:1,10.68,18.8,9.405,32.29,23.74,28.245,20.455,16.925,16.29,47.215,16.83,19.79,40.09,22.88,18.5
480.31,339.325,LysoPE18:1,PE31:1,307.13,540.17,293.51,817.33,620.07,698.48,521.92,497.94,456.99,616.21,578.42,497.23,920.465,595.7,536.245
482.32,341.345,LysoPE18:0,PE31:1,113.82,133.595,105.04,153.86,129.275,136.095,131.24,132.12,155.96,189.275,178.55,176.67,161.255,141.465,142.515
492.31,184.105,LysoPC16:2,DLPC,0.46,0.425,0.435,0.52,0.42,0.525,0.48,0.31,0.43,0.49,0.45,0.42,0.69,0.44,0.495
494.32,184.105,LysoPC16:1,DLPC,16.09,23.19,14.115,25.655,17.575,21.25,16.655,15.185,19.19,20.7,15.63,16.27,26.25,16.615,15.855
496.34,184.105,LysoPC16:0,DLPC,133.995,157.635,132.94,184.6,138.005,163.415,117.395,105.385,124.65,128.505,94.2,91.52,164.945,132.29,117.675
506.32,365.345,LysoPE20:2,PE31:1,5.585,10.235,5.905,12.71,12.66,12.12,7.385,9.405,6.52,17.28,5.28,2.48,13.955,8.55,8.04
508.34,367.355,LysoPE20:1,PE31:1,62.105,94.61,60.65,171.08,139.825,163.125,93.105,146.28,89.49,95.765,127.61,40.62,154.14,131.44,122.55
510.36,369.375,LysoPE20:0,PE31:1,2.65,3.215,2.485,4.805,3.81,4.595,3.39,3.79,2.97,14.56,0,1.64,6.39,3.435,3.355
520.66,184.105,LysoPC18:2,DLPC,0.63,0.945,0.525,1.595,0.87,1.075,0.72,0.77,0.71,4,0.62,0.57,1.55,0.72,0.715
